Timestamp,Which of the following would you like to see discussed at a future meetup:,I am currently employed as a:,Years experience in full-time front end development work:,My current salary is:,I work for:,"In your job, which of the following do you use regularly:"
5/21/2014 6:41:56,"JavaScript Best Practicies, LESS, Angular.js, Responsive Design",Front End Developer,2-5 years,"$80,000 - $100,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Less, Backbone.js, Responsive Design"
5/21/2014 6:41:59,"JavaScript Best Practicies, jQuery, Sass, SVG, Node.js, Responsive Design",Designer / Developer,2-5 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, SVG, Responsive Design"
5/21/2014 6:42:17,"JavaScript Best Practicies, LESS, HTML5 Canvas, Node.js, Responsive Design",Full-stack Developer,1-2 years,"$10,000 - $30,000",Myself,jQuery
5/21/2014 6:42:27,"JavaScript Best Practicies, Sass, HTML5 Canvas, SVG, Backbone.js, D3.js",Designer / Developer,2-5 years,"$50,000 - $80,000",A Web Consultency,"JavaScript, jQuery, Sass, Backbone.js, Ember.js, Node.js, D3.js, Responsive Design"
5/21/2014 6:42:40,"JavaScript Best Practicies, Angular.js, Node.js, Responsive Design",Full-stack Developer,1-2 years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, Sass, Less, Angular.js"
5/21/2014 6:42:48,"JavaScript Best Practicies, Sass, LESS, HTML5 Canvas, SVG, Responsive Design",Designer,<1 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"Sass, Less, HTML5 Canvas, SVG, Responsive Design"
5/21/2014 6:43:21,"JavaScript Best Practicies, CoffeeScript, Sass, HTML5 Canvas, SVG, Angular.js, Node.js, D3.js",Front End Developer,<1 years,"$50,000 - $80,000",A Web Startup,"JavaScript, CoffeeScript, jQuery, Sass, Less, Backbone.js, Responsive Design"
5/21/2014 6:43:22,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, HTML5 Canvas, Angular.js, Responsive Design",Front End Developer,5+ years,"$100,000 - $130,000",Myself,"JavaScript, jQuery, Sass, Angular.js, Responsive Design, PHP"
5/21/2014 6:43:23,"Sass, HTML5 Canvas, D3.js",Designer / Developer,2-5 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, SVG, D3.js, Responsive Design"
5/21/2014 6:43:45,"jQuery, HTML5 Canvas, Node.js, Responsive Design",Front End Developer,,"$50,000 - $80,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Responsive Design"
5/21/2014 6:45:03,"Sass, HTML5 Canvas, Node.js, Responsive Design",Front End Developer,<1 years,,Myself,"jQuery, Sass, Less, Node.js, Responsive Design"
5/21/2014 6:45:38,"JavaScript Best Practicies, Sass, Node.js, D3.js",Full-stack Developer,1-2 years,"$50,000 - $80,000",A Web Consultency,"JavaScript, CoffeeScript, jQuery, Sass, Ember.js"
5/21/2014 6:46:48,"JavaScript Best Practicies, Sass, SVG, WebGL, Ember.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$50,000 - $80,000",A Web Startup,"JavaScript, jQuery, Sass, SVG, Ember.js, Responsive Design"
5/21/2014 6:46:48,"Sass, LESS",Designer / Developer,5+ years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Responsive Design"
5/21/2014 6:47:24,"JavaScript Best Practicies, jQuery, Sass, LESS, HTML5 Canvas, WebGL, WebRTC, Backbone.js",Full-stack Developer,2-5 years,"$50,000 - $80,000",A Web Startup,"JavaScript, jQuery"
5/21/2014 9:47:39,"JavaScript Best Practicies, jQuery, HTML5 Canvas, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$80,000 - $100,000",A Web Consultency,"JavaScript, jQuery"
5/21/2014 9:48:19,"JavaScript Best Practicies, Sass, HTML5 Canvas, SVG, Ember.js, Node.js, Responsive Design",Full-stack Developer,2-5 years,"$10,000 - $30,000",Myself,"JavaScript, Sass, SVG, Ember.js, Node.js, Responsive Design"
5/21/2014 9:48:54,"JavaScript Best Practicies, SVG, Backbone.js, Angular.js, Node.js",Front End Developer,2-5 years,"$50,000 - $80,000",A Non-web company (2-50 Employees),"JavaScript, jQuery, Sass, Node.js, Responsive Design, Wordpress"
5/21/2014 9:48:54,"JavaScript Best Practicies, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Front End Developer,<1 years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, SVG, D3.js, Responsive Design"
5/21/2014 9:50:14,"JavaScript Best Practicies, Backbone.js, Angular.js, Responsive Design",Full-stack Developer,5+ years,"$80,000 - $100,000",A Web Startup,"JavaScript, jQuery, Backbone.js, C#, MySql"
5/21/2014 9:50:54,"JavaScript Best Practicies, Sass, SVG, Backbone.js, Node.js",Full-stack Developer,2-5 years,"$80,000 - $100,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, Backbone.js"
5/21/2014 9:54:54,"JavaScript Best Practicies, jQuery, HTML5 Canvas, Angular.js",Front End Developer,5+ years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, Less, Backbone.js, Angular.js, Node.js"
5/21/2014 9:56:37,"JavaScript Best Practicies, HTML5 Canvas, SVG, Angular.js, D3.js, Responsive Design",Front End Developer,5+ years,"$130,000+",Myself,"JavaScript, jQuery, Sass, Less, HTML5 Canvas, SVG, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design"
5/21/2014 9:59:03,"JavaScript Best Practicies, jQuery, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Front End Developer,2-5 years,"$80,000 - $100,000",A Web Consultency,"JavaScript, jQuery, Less, HTML5 Canvas, Backbone.js, Ember.js, Node.js, Responsive Design"
5/21/2014 10:01:18,"JavaScript Best Practicies, CoffeeScript, jQuery, LESS, HTML5 Canvas, SVG, WebGL, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design",Full-stack Developer,5+ years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, jQuery, D3.js, Responsive Design"
5/21/2014 10:01:29,"JavaScript Best Practicies, CoffeeScript, jQuery, LESS, HTML5 Canvas, SVG, WebGL, Backbone.js, Angular.js, Node.js, D3.js, Responsive Design",Full-stack Developer,5+ years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, jQuery, D3.js, Responsive Design"
5/21/2014 10:04:16,"JavaScript Best Practicies, Sass, LESS, SVG, D3.js, Responsive Design",Front End Developer,2-5 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, Less, SVG, D3.js, Responsive Design"
5/21/2014 10:04:32,"SVG, Angular.js, Ember.js, Node.js, Responsive Design",Front End Developer,2-5 years,"$80,000 - $100,000",A Web Consultency,"JavaScript, jQuery, Sass, Responsive Design"
